OBJECTID,PL_NAME,r400,r800,ashelter,aowned,mshelter,mowned
1,Waterfront,3944,8652,1331.732131,769748.1118,1400.316985,554199.8253
2,Burrard,4554,12736,1379.856215,677237.5766,1331.285957,521681.6233
3,Granville,5189,11504,1434.446954,604839.0912,1427.460048,489562.8207
4,Stadium - Chinatown,9900,10760,1280.870086,567008.0547,1240.543654,494662.9559
5,Main,2215,3521,1079.145401,603999.474,1018.604471,538616.7398
6,Broadway,,,,,,
7,Nanaimo,5334,5315,939.8304287,739937.1783,906.6480995,723131.7267
8,29th Ave,5675,6381,867.7585705,734385.6727,779.0578094,730508.8665
9,Joyce,12191,9102,970.1615223,558309.954,947.1858149,550273.9758
10,Patterson,5939,7222,949.6772624,408388.4943,930.3545907,380603.945
11,Metrotown,9854,6612,977.3540938,461378.6546,956.5249785,433891.7465
12,Royal Oak,5626,4761,966.2456795,528937.8075,922.133447,503990.8582
13,Edmonds,5697,5084,946.9481852,428420.1182,919.9188469,398233.2766
14,22nd St,1361,621,913.606918,651583.1311,763.1107795,639001.7427
15,New West,6760,2740,957.9902224,347705.0008,992.9189693,328759.9393
16,Columbia,4514,2067,929.3068806,356836.9957,941.0570887,344404.871
17,Scott Road,332,320,935.1077833,354964.0302,766.340115,390296.2405
18,Gateway,3783,3784,856.9069874,341258.6408,827.0930765,312573.3317
19,Surrey Central,3207,4040,794.3999001,271033.8106,753.103475,243378.5614
20,King George,4938,2777,824.6890737,284443.3328,798.8979088,255304.3857
21,Commercial,7167,4846,903.7067389,656829.8884,874.9853933,630151.905
22,Renfrew,2437,4704,869.4622986,724765.573,828.9325692,712266.4554
23,Rupert,2059,2894,867.7128894,780250.2531,780.25597,764206.4152
24,Gilmore,3032,2203,1318.279505,487135.5551,1381.02075,428002.1428
25,Brentwood,6288,3631,1301.074517,517084.2283,1337.314366,469604.7808
26,Holdom,1919,2386,1274.289405,599562.7937,1295.232508,569485.2198
27,Sperling,461,809,1474.864409,796114.5493,1468.263329,745459.0332
28,Lake City,886,792,1255.33317,1041053.276,1412.283581,948199.5457
29,Production Way,380,1052,1312.249092,694228.2547,1537.516828,588357.8653
30,Lougheed,4548,4011,1034.764815,348230.9898,974.3218663,331008.4154
31,Braid,582,681,996.0416909,522556.1986,1034.445476,491582.6298
32,Sapperton,1385,1003,852.1353296,454286.4197,851.2173829,404838.4591
33,VCC - Clark,3534,5405,861.7393534,477330.7988,840.9062719,450201.8477
34,Waterfront,,,,,,
35,Vancouver City Centre,10093,13895,1379.930502,556432.5124,1364.956924,468552.4317
36,Yaletown-Roundhouse,27578,16395,1413.289516,631473.6875,1415.643365,552942.7863
37,Broadway-City Hall,5608,6611,1261.446383,618665.7626,1247.568685,559449.8713
38,King Edward,4388,3540,1182.984759,622308.7477,1151.897272,561102.9109
39,Oakridge-41st Avenue,3425,2804,1199.744959,1303635.254,1121.536003,1263991.143
40,Langara-49th Avenue,2058,3196,1244.367001,1190946.944,1151.669782,1142308.713
41,Marine Drive,2672,1767,1296.349078,1134143.439,1266.241271,1086285.852
42,Bridgeport,118,492,948.0379871,997822.666,944.9979821,904063.8484
43,Aberdeen,431,434,1190.928674,643096.311,1146.015833,673302.7825
44,Landsdowne,3990,4880,1210.659367,516548.7649,1259.526422,490969.0462
45,Richmond-Brighouse,6920,8779,1253.912441,415274.3549,1290.002184,400968.6631
46,Templeton,1,22,NA,671858,NA,696607
47,Sea Island Centre,13,21,NA,671858,NA,696607
48,YVR-Airport,1,1,NA,NA,NA,NA
49,Olympic Village,5550,6611,1261.446383,618665.7626,1247.568685,559449.8713
